Hergang;Fotos?;Kunden-Nr.;SPARTE;CLAIMSTATUS;TOTAL SCHADENAUFWAND
PS -  Fahrerseite KF Kratzer;Ja;12109;MFK;geschlossen;738.75
kam an Wand in Tiefgarage an, Türe hi re;Ja;12056;MFK;geschlossen;1733.3
Steinschlag Sensor Einparkhilfe;Ja;12031;MFK;geschlossen;1013.45
an Stein eingehängt, Blech abgerissen;Ja;12025;MFK;geschlossen;4073.48
VN ist rückwärts in eine Mauer gefahren / hi li;Ja;12022;MFK;geschlossen;5731.28
Golfplatz Münchenbuchsee / Beim Aussteigen und mit Autotür dagegen gekommen ;Ja;12009;MFH;geschlossen;1382.75
Spannungsriss Cheminee;Ja;12008;HR;geschlossen;950
Glastüre der Duschkabine zersprungen;Ja;12006;HR;geschlossen;2870.4
beim Lichtsignal leicht rückwärts gefahren und in anderes Fzg rein;Ja;11982;MFH;geschlossen;3649.95
Heckleuchte rechts ca. 10 cm langer Riss;Ja;11951;MFK;geschlossen;1126.1
Scheibe hi re hat es verjagt - Ursache unklar;Ja;11941;MFK;geschlossen;1109
fuhr einem geparkten Lieferwagen beim Ausparken rückwärts rein;Ja;11938;MFH;geschlossen;8337.22
Beim rü fahren ein parkiertes FZ touchiert, Beschädigung rechte Seite;Ja;11934;MFK;geschlossen;1333
Balkonbank zu einem Bekannten getragen und beim Absetzen Bildschirm TV beschädigt;Ja;11922;PH;geschlossen;1000
"Handy runtergefallen; Glas und Rückseite gespalten";Ja;11903;HR;geschlossen;766
Pfeiler touchiert in Garage / hi li;Ja;11893;MFK;geschlossen;3109.35
Auffahrunfall, Heck eingedrückt bei GP;Ja;11892;MFH;geschlossen;2748.85
Lackschaden bei GP, passiert beim Ausparken;Ja;11890;MFH;geschlossen;949.35
VN hat beim vorbeifahren anderes FZ touchiert / linke Seite;Ja;11867;MFH;geschlossen;5308.2
Beim parkieren FZ touchiert;Ja;11865;MFH;geschlossen;3400.35
Mieterschaden - Vase in Badewanne gefallen;Ja;11858;PH;geschlossen;248.6
